id,img,field,name,brand,price,pricestring,type,range,batterylife,weight,otherinfo,connection,resistance,description
61,61,headphone,هدفون بلوتوثی انکر مدل R50i NC,ank,2098000,۲.۰۹۸.۰۰۰,تو گوشی,۱۰ متر,۱۰ ساعت,۱۰۰ گرم,مجهز به ۴ میکروفون / قابلیت نویز کنسلینگ تا ۴۲ دسی‌بل / دارای پایه نگهدارنده موبایل ( به صورت مخفی) / دارای گواهی IP۵۴ و مقاومت بالا در برابر نفوذ آب و گرد و غبار,بی‌سیم,مقاوم در برابر آب,هدفون بلوتوثی انکر مدل  R50i NCبا ورود به بازار پر رقیب هدفون‌ها، توانسته‌اند توجه بسیاری از کاربران را به خود جلب کنند. با طراحی زیبا، کیفیت صدای مطلوب و ویژگی‌های کاربردی، تجربه‌ای دلپذیر و جالب از شنیدن موسیقی را برای کاربران فراهم می‌کند.
62,62,headphone,هدفون بلوتوثی انکر مدل SoundCore R50i A3949,ank,1350000,۱.۳۵۰.۰۰۰,تو گوشی,۱۰ متر,۱۰ ساعت,۱۰۰ گرم,مجهز به ۴ میکروفون / قابلیت نویز کنسلینگ تا ۴۲ دسی‌بل / دارای پایه نگهدارنده موبایل ( به صورت مخفی) / دارای گواهی IP۵۴ و مقاومت بالا در برابر نفوذ آب و گرد و غبار,بی‌سیم,مقاوم در برابر آب,هدفون بلوتوثی انکر مدل  R50i NCبا ورود به بازار پر رقیب هدفون‌ها، توانسته‌اند توجه بسیاری از کاربران را به خود جلب کنند. با طراحی زیبا، کیفیت صدای مطلوب و ویژگی‌های کاربردی، تجربه‌ای دلپذیر و جالب از شنیدن موسیقی را برای کاربران فراهم می‌کند.
63,63,headphone,هدفون بلوتوثی انکر مدل K20i,ank,964600,۹۶۴.۶۰۰,تو گوشی,۱۰ متر,۱۰ ساعت,۱۰۰ گرم,مجهز به ۴ میکروفون / قابلیت نویز کنسلینگ تا ۴۲ دسی‌بل / دارای پایه نگهدارنده موبایل ( به صورت مخفی) / دارای گواهی IP۵۴ و مقاومت بالا در برابر نفوذ آب و گرد و غبار,بی‌سیم,مقاوم در برابر آب,هدفون بلوتوثی انکر مدل  R50i NCبا ورود به بازار پر رقیب هدفون‌ها، توانسته‌اند توجه بسیاری از کاربران را به خود جلب کنند. با طراحی زیبا، کیفیت صدای مطلوب و ویژگی‌های کاربردی، تجربه‌ای دلپذیر و جالب از شنیدن موسیقی را برای کاربران فراهم می‌کند.
64,64,headphone,هدفون بلوتوثی اپل مدل AirPods Pro 2nd Generation Type-C,iph,19550400,۱۹.۵۵۰.۴۰۰,تو گوشی,۱۰ متر,۶ ساعت,۱۰۰ گرم,پشتیبانی از فرمان لمسی پشتیبانی از دستیار صوتی,بی‌سیم,مقاوم در برابر رطوبت ,هدفون بلوتوثی اپل مدل AirPods Pro 2nd Generation Type-C جدیدترین ایرپاد پرو کوپرتینویی‌ها است که این‌بار به‌جای استفاده از پورت Lightning به پورت USB-C مجهز شده است. در بخش ظاهری همچنان با هدفونی با پایه‌های کوتاه و سر سیلیکونی مواجه هستیم که به خوبی در گوش قرار گرفته و ارگونومیک بالایی دارد. یک دریچه در کنار بدنه برای یکسان‌سازی فشار داخل گوش و یک سنسور لمسی به همراه دو میکروفون فعال کردن سیستم حذف نویز فعال یا ANC وجود دارد. تراشه H2 حذف نویز را به طور چشم‌گیری بهبود داده به طوری که نسبت به ایرپاد پرو قبلی تا دو برابر نرخ حذف نویز بیشتر شده است. بهینه‌سازی‌های انجام شده باعث شده تا نسبت به ایرپاد پرو اولیه، شاهد بیس عمیق‌تر، صدای واضح‌تر و کاهش نویز و تداخلات صوتی در حجم بالا باشیم. در بخش باتری با هر بار شارژ کامل می‌توان تا 6 ساعت به طور مدام موزیک پخش کرد اما اگر صدای فضایی با ردیابی سر روشن باشد این مقدار به 5.5 ساعت کاهش می‌یابد. همچنین با هر بار شارژ می‌توانید تا 4.5 ساعت مکالمه با لغو نویز فعال را انتظار داشته باشید. کیس شارژ این امکان را به شما می‌دهد زمان پخش موزیک را به 30 ساعت و زمان مکالمه را به 24 ساعت افزایش دهید. مهمترین تفاوت بین هدفون بلوتوثی اپل مدل AirPods Pro 2nd Generation Type-C و AirPods Pro نسل دوم با لایتنینگ این است که کیس شارژ جدید به جای پورت لایتنینگ، یک پورت USB-C دارد. تشخیص صحبت کردن و حرکت فک با قابلیت Conversation Awareness و Adaptive Audio برای کم یا زیاد کردن حذف نویز نسبت به صدا محیط از مهمترین قابلیت‌های این هدفون است.
65,65,headphone,هدفون بی سیم بلوتوثی انکر مدل A3213 U2i,ank,1300000,۱.۳۰۰.۰۰۰,تو گوشی,۱۰ متر,۶ ساعت,۱۰۰ گرم,پشتیبانی از فرمان لمسی پشتیبانی از دستیار صوتی,بی‌سیم,مقاوم در برابر رطوبت ,هدفون بی‌سیم بلوتوثی انکر مدل A3213 U2i یک محصول پرچم‌دار و با کیفیت در حوزه هدفون‌های بلوتوثی است که با ترکیب طراحی زیبا، امکانات پیشرفته و عملکرد صوتی برتر خود، گزینه مناسبی برای کاربران حرفه‌ای و علاقه‌مندان به صدای با کیفیت محسوب می‌شود. از نظر طراحی، این هدفون دارای ظاهری شیک و مدرن است که جذابیت خاصی به آن بخشیده است. بدنه اصلی از جنس پلاستیک مقاوم و سبک ساخته شده و قسمت‌های اتصال به گوش نیز از جنس سیلیکون نرم و راحت طراحی شده‌اند. همچنین این هدفون دارای درجه‌بندی IP5X در برابر آب و گردوغبار است که امکان استفاده از آن را در محیط‌های مرطوب و ورزشی فراهم می‌کند. در بخش صوتی نیز این هدفون عملکرد استثنایی دارد. به‌لطف طراحی پیشرفته درایورهای آن، قادر به بازتولید صدایی غنی، طبیعی و پویا در تمامی ژانرهای موسیقی است. همچنین سیستم لغو نویز پیشرفته در این هدفون، مانع انتقال صداهای مزاحم محیطی شده و کاربر را در محیط‌های پرسروصدا نیز قادر به لذت بردن از موسیقی با کیفیت بالا می‌کند. قابلیت‌های اتصال این هدفون نیز بسیار پیشرفته و کاربرپسند است. پشتیبانی از نسخه 5.0 بلوتوث، امکان اتصال آسان و پایدار به انواع دستگاه‌های مجهز به بلوتوث را فراهم می‌کند. همچنین باتری قدرتمند 400 میلی‌آمپر ساعتی آن، امکان استفاده مداوم تا 22 ساعت در حالت پخش موسیقی را فراهم می‌سازد. در مجموع می‌توان گفت هدفون بی‌سیم بلوتوثی انکر مدل A3213 U2i محصولی کامل، با کیفیت و ارزشمند در حوزه هدفون‌های بلوتوثی است که برای کاربران حرفه‌ای و علاقه‌مندان به صدای با کیفیت بالا گزینه‌ای ایده‌آل محسوب می‌شود.
66,66,headphone,هدست مخصوص بازی ریزر مدل BLACKSHARK V2 X,raz,4070000,۴.۰۷۰.۰۰۰,دور گوشی,-,-,۲۴۰ گرم,کاور مخصوص ریزر کابل رابط ورودی صدا و میکروفون,با سیم,مقاوم در برابر رطوبت ,جدیدترین هدست گیمینگ ریزر در سال 2020 مدل BlackShark V2 X برای طرفداران برند محبوب ریزر ارائه شده است. این محصول با طراحی خاص ریزر و با کیفیت فوق العاده از صدای فراگیر 7.1 پشتیبانی میکند. هدست بلک شارک بسیار سبک بوده و با حدود 240 گرم وزن ، در استفاده طولانی مدت ایجاد خستگی نمی کند. ریزر یک پیچ آنالوگ تنظیم حجم صدا نیز در این محصول تعبیه کرده است که به راحتی میتوان از آن استفاده کرد. طراحی و ساخت قسمت گوشی به همراه متریال چرمی هوشمند ، هم از نویز محیط به خوبی جلوگیری میکند و هم وضعیت راحتی با گردش هوا برای گوشها بوجود می آورد. طراحی زیبای کابل 3.5 میلیمتری به رنگ سبز خاص ریزر ، صدای 360 درجه ، استفاده از متریال دارای حافظه برای راحتی سر و گوش ها ، درایور بسیار بزرگ 50 میلی متری تیتانیومی ، هسته فلزی برای هدبند ، نویز کنسلینگ میکروفون ،... از امکانات بی نظیر این هدست ارزشمند می باشد.
67,67,headphone,هدفون بلوتوثی جی بی ال مدل JBL Tune 720BT,jbl,4179900,۴.۱۷۹.۹۰۰,دور گوشی,۱۰ متر,۶ ساعت,۱۰۰ گرم,پشتیبانی از فرمان لمسی پشتیبانی از دستیار صوتی,بی‌سیم,مقاوم در برابر رطوبت ,هدفون JBL Tune 720BT صدا قدرتمند JBL Pure Bass کمپانی جی بی ال را به لطف آخرین فناوری بلوتوث نسخه 5.3 عرضه کرده است. این هدفون تا 76 ساعت لذت گوش‌دادن به موسیقی و 3 ساعت باتری اضافی تنها با 5 دقیقه شارژ را ارائه میدهد. JBL Tune 720BT وزنی برابر با 220 گرم دارد، این وزن کمتر از میانگین وزن هدفون‌ها برای راحتی در استفاده طولانی مدت است و بسیار عالی است. جی بی ال جابجایی راحت را در هدفون‌های جدید خود مدنظر دارد. هدفون‌ دارای پدهای بزرگی هست که در اطراف کل گوش شما قرار میگیرند. این طرح به دلیل افزایش عایق صدا و اینکه صدا به اطرافیان شما نشت نکند موردعلاقه است.JBL Tune 720BT دارای بلندگوهای استریو است، دستگاه‌های دارای بلندگوهای استریو صدا را از کانال‌های مستقل در هر دو سمت، چپ و راست پخش میکنند و صدای غنی‌تر و تجربه شنیداری بهتری را ایجاد میکنند.
68,68,headphone,هدست مخصوص بازی ریزر مدل Kraken X Essential,raz,3100000,۳.۱۰۰.۰۰۰,با سیم,-,-,۲۳۰ گرم,کاور مخصوص ریزر کابل رابط ورودی صدا و میکروفون,با سیم,مقاوم در برابر رطوبت ,میتوانید یک تجربه کامل گیمینگ با غوطه وری کامل صدا داشته باشید بدون اینکه احساس کنید هدستی روی سر خود دارید، این شما و این هدست گیمینگ Kraken X Essential ریزر، باوزن بسیار کم درحدود 250 گرم وغوطه وری فوق العاده با صدای Surround 7.1. باهدست گیمینگ Kraken X Essential مجهزبه قابلیت صدای Surround 7.1 بسیار دقیق و شفاف، امکان تشخیص جهت و فاصله صدابرای شما فراهم آمده و تجربه منحصر به فردی را برای شما رقم میزند. این امر به معنای آن است که شما در میدان مبارزه میتوانید مستقیما به درون حادثه نفوذ کرده وبا گشودن آتش بار، حمله را آغاز نمایید. این هدست گیمینگ دارای درایورهای 40 میلیمتری باطراحی سفارشی و صدایی متوازن باجزئیات دقیق راارائه میدهد تا وقایع را همانگونه که هستنددرک کنید؛ از صدای مهیب انفجارهای ،تا خش‌خش نامحسوس قدمهای کسی که ازپشت سرشما را تعقیب میکند(این قابلیت در ویندوز 10 -64 بیتی در دسترس است.) هدست گیمینگ Kraken X Essential ریزر با صدای Surround 7.1 و با عملکرد فوق العاده، از یک طراحی ارگونومیک خاص بهره میبرد. این یک ابزار رقابتی است میتواند بعنوان سلاحی کارآمد موجب تسلط کامل شما بر میدانهای نبرد درون گیم شود، اما عملکرد بالا با مزیت رقابتی تنها خصوصیت این محصول نیست. Kraken X Essential ریزر طراحی شده تا در جلسات طولانی گیمینک این احساس را در شما تداعی کند که هیچ چیزی روی سر ندارید. گوشی های Kraken X Essential ریزر دارای بالشتکهایی از جنس مموری فوم با روکش مخمل بوده که با وجود تعبیه کانالهای مخفی مخصوص دسته عینک، ضمن ایجاد یک عایق صوتی ایده آل، راحتی چشمگیری را فراهم آورده است.
69,69,headphone,هدفون بلوتوثی انکر مدل Soundcore P30i,ank,2330000,۲.۳۳۰.۰۰۰,تو گوشی,۱۰ متر,۶ ساعت,۱۰۰ گرم,پشتیبانی از فرمان لمسی پشتیبانی از دستیار صوتی,بی‌سیم,مقاوم در برابر رطوبت ,هدفون بلوتوثی انکر مدل Soundcore P30i تجربه‌ای بی‌نظیر از موسیقی و مکالمه را با کیفیتی مطلوب ارائه می‌دهد. این هدفون با فناوری TWS، طراحی ارگونومیک و وزن ۱۱۷ گرمی با ابعاد ۱۰۷×۱۰۷×۳۶ میلی‌متر، صدایی فراگیری را تولید می‌کند که برای گوش‌دادن به موسیقی یا تماشای ویدئو در طولانی‌مدت ایده‌آل هست. بدنه پلاستیکی مقاوم و گواهی IP54، این محصول را در برابر گردوغبار و پاشش آب مقاوم کرده و برای استفاده روزمره یا فعالیت‌های سبک مناسب است. درایورهای ۱۰ میلی‌متری، پاسخ فرکانسی ۲۰ تا 20000 هرتز، حساسیت ۴۲ دسی‌بل و امپدانس ۱۶ اهم، کیفیت صدای متعادل همراه صدایی شفاف با بیس قوی تولید می‌کنند. فناوری نویز کنسلینگ فعال (ANC) با کاهش صداهای مزاحم محیط، تجربه‌ای لذت‌بخش را به‌ویژه در محیط‌های شلوغ فراهم می‌آورد. چهار میکروفون مجهز به هوش مصنوعی موجود در هدفون بلوتوثی انکر مدل Soundcore P30i، مکالمات را با وضوح بالا و بدون نویز پس‌زمینه ارائه می‌دهند. این هدفون از بلوتوث نسخه ۵.۴ بهره می‌برد که اتصالی پایدار و سریع هم زمان به دو دستگاه را تا فاصله مناسب فراهم می‌کند. دکمه‌های لمسی روی هدفون‌ها کنترل موسیقی و تماس‌ها را ساده‌تر کرده‌اند. باتری هدفون با ۷ ساعت پخش (با ANC فعال) و ۱۰ ساعت (بدون ANC) عملکرد قابل‌اعتمادی دارد که برای کاربری عمومی، از مکالمه گرفته تا گوش‌دادن به پادکست، انتخابی کارآمد و مدرن است.
