id,img,field,name,brand,price,pricestring,type,range,batterylife,weight,otherinfo,connection,resistance,description
70,70,headphone,هدفون بلوتوثی اپل مدل AirPods 4,iph,11567800,۱۱.۵۶۷.۸۰۰,تو گوشی,۱۰ متر,۶ ساعت,۱۰۰ گرم,پشتیبانی از فرمان لمسی پشتیبانی از دستیار صوتی,بی‌سیم,مقاوم در برابر رطوبت ,هدفون بلوتوثی اپل مدل AirPods Pro 2nd Generation Type-C جدیدترین ایرپاد پرو کوپرتینویی‌ها است که این‌بار به‌جای استفاده از پورت Lightning به پورت USB-C مجهز شده است. در بخش ظاهری همچنان با هدفونی با پایه‌های کوتاه و سر سیلیکونی مواجه هستیم که به خوبی در گوش قرار گرفته و ارگونومیک بالایی دارد. یک دریچه در کنار بدنه برای یکسان‌سازی فشار داخل گوش و یک سنسور لمسی به همراه دو میکروفون فعال کردن سیستم حذف نویز فعال یا ANC وجود دارد. تراشه H2 حذف نویز را به طور چشم‌گیری بهبود داده به طوری که نسبت به ایرپاد پرو قبلی تا دو برابر نرخ حذف نویز بیشتر شده است. بهینه‌سازی‌های انجام شده باعث شده تا نسبت به ایرپاد پرو اولیه، شاهد بیس عمیق‌تر، صدای واضح‌تر و کاهش نویز و تداخلات صوتی در حجم بالا باشیم. در بخش باتری با هر بار شارژ کامل می‌توان تا 6 ساعت به طور مدام موزیک پخش کرد اما اگر صدای فضایی با ردیابی سر روشن باشد این مقدار به 5.5 ساعت کاهش می‌یابد. همچنین با هر بار شارژ می‌توانید تا 4.5 ساعت مکالمه با لغو نویز فعال را انتظار داشته باشید. کیس شارژ این امکان را به شما می‌دهد زمان پخش موزیک را به 30 ساعت و زمان مکالمه را به 24 ساعت افزایش دهید. مهمترین تفاوت بین هدفون بلوتوثی اپل مدل AirPods Pro 2nd Generation Type-C و AirPods Pro نسل دوم با لایتنینگ این است که کیس شارژ جدید به جای پورت لایتنینگ، یک پورت USB-C دارد. تشخیص صحبت کردن و حرکت فک با قابلیت Conversation Awareness و Adaptive Audio برای کم یا زیاد کردن حذف نویز نسبت به صدا محیط از مهمترین قابلیت‌های این هدفون است.
71,71,headphone,هدست مخصوص بازی ریزر مدل Kraken X Lite 7.1,raz,2665000,۲.۶۶۵.۰۰۰,دور گوشی,-,-,۲۴۰ گرم,کاور مخصوص ریزر کابل رابط ورودی صدا و میکروفون,با سیم,مقاوم در برابر رطوبت ,میتوانید یک تجربه کامل گیمینگ با غوطه وری کامل صدا داشته باشید بدون اینکه احساس کنید هدستی روی سر خود دارید، این شما و این هدست گیمینگ Kraken X ریزر، باوزن بسیار کم درحدود 250 گرم وغوطه وری فوق العاده با صدای Surround 7.1. باهدست گیمینگ KRAKEN X مجهزبه قابلیت صدای Surround 7.1 بسیار دقیق و شفاف، امکان تشخیص جهت و فاصله صدابرای شما فراهم آمده و تجربه منحصر به فردی را برای شما رقم میزند. این امر به معنای آن است که شما در میدان مبارزه میتوانید مستقیما به درون حادثه نفوذ کرده وبا گشودن آتش بار، حمله را آغاز نمایید. این هدست گیمینگ دارای درایورهای 40 میلیمتری باطراحی سفارشی و صدایی متوازن باجزئیات دقیق راارائه میدهد تا وقایع را همانگونه که هستنددرک کنید؛ از صدای مهیب انفجارهای ،تا خش‌خش نامحسوس قدمهای کسی که ازپشت سرشما را تعقیب میکند(این قابلیت در ویندوز 10 -64 بیتی در دسترس است.) هدست گیمینگ Kraken X ریزر با صدای Surround 7.1 و با عملکرد فوق العاده، از یک طراحی ارگونومیک خاص بهره میبرد. این یک ابزار رقابتی است میتواند بعنوان سلاحی کارآمد موجب تسلط کامل شما بر میدانهای نبرد درون گیم شود.
72,72,headphone,هدفون بلوتوثی انکر مدل Soundcore P40i,ank,3300000,۳.۳۰۰.۰۰۰,تو گوشی,۱۰ متر,۶ ساعت,۱۰۰ گرم,پشتیبانی از فرمان لمسی پشتیبانی از دستیار صوتی,بی‌سیم,مقاوم در برابر رطوبت ,بدون هیچ تردیدی شرکت انکر یکی از برترین شرکت‌های فعال در حوزه‌ی لوازم جانبی از جمله هدفون‌ها است و محصولات این شرکت به دلیل کیفیت ساخت بسیار بالای خود زبانزد هستند. علاوه بر این، هدفون‌های بی‌سیم سری SoundCore این شرکت هم از طرفداران بسیاری برخوردار هستند و کیفیت بسیار بالای آن‌ها مدت‌ها است که خریداران را جذب خود می‌کند. هدفون SoundCore R50i A3949 به عنوان یکی از این محصولات می‌تواند گزینه‌ای بسیار عالی برای خریداران باشد. این هدفون بی‌سیم با بهره‌مندی از کیفیت ساخت بالا و همچنین استاندارد IPX5، از عمر طولانی و مقاومت در برابر نفوذ آب برخوردار است. همچنین، تکنولوژی‌هایی اعم از فناوری Bass-Up EQ و 22 EQ، قابلیت شارژ سریع (شارژدهی تا 2 ساعت با 10 دقیقه شارژ)، الگوریتم 2 میکروفون برای ارائه کیفیت تماس بهتر و AI-Clear برای پردازش شفاف‌تر صدا توسط هوش مصنوعی از ویژگی‌های شاخص آن به شمار می‌روند.
73,73,headphone,هدفون بلوتوثی انکر مدل Liberty 4 NC,ank,5179000,۵.۱۷۹.۰۰۰,تو گوشی,۱۰ متر,۶ ساعت,۱۰۰ گرم,پشتیبانی از فرمان لمسی پشتیبانی از دستیار صوتی,بی‌سیم,مقاوم در برابر رطوبت ,هدفون بی‌سیم انکر مدل Soundcore Liberty 4 NC دارای امکانات بسیاری است که این محصول را به یک هدفون بی‌رقیب تبدیل می‌کند. در این بخش، به معرفی امکانات این هدفون می‌پردازیم. این هدفون دارای طراحی شیکی بوده و دارای کیفیت صدای بسیار خوبی نیز هست. همچنین، این هدفون‌ها دارای عمر باتری بالایی بوده و می‌توانید نرم‌افزار هوشمند آن را روی گوشی خود نصب کنید و از امکانات مفید آن برخوردار شوید.
74,74,headphone,هدفون بلوتوثی اپل مدل AirPods 4,iph,15700000,۱۵.۷۰۰.۰۰۰,تو گوشی,۱۰ متر,۶ ساعت,۱۰۰ گرم,پشتیبانی از فرمان لمسی پشتیبانی از دستیار صوتی,بی‌سیم,مقاوم در برابر رطوبت ,هدفون بلوتوثی اپل مدل AirPods Pro 2nd Generation Type-C جدیدترین ایرپاد پرو کوپرتینویی‌ها است که این‌بار به‌جای استفاده از پورت Lightning به پورت USB-C مجهز شده است. در بخش ظاهری همچنان با هدفونی با پایه‌های کوتاه و سر سیلیکونی مواجه هستیم که به خوبی در گوش قرار گرفته و ارگونومیک بالایی دارد. یک دریچه در کنار بدنه برای یکسان‌سازی فشار داخل گوش و یک سنسور لمسی به همراه دو میکروفون فعال کردن سیستم حذف نویز فعال یا ANC وجود دارد. تراشه H2 حذف نویز را به طور چشم‌گیری بهبود داده به طوری که نسبت به ایرپاد پرو قبلی تا دو برابر نرخ حذف نویز بیشتر شده است. بهینه‌سازی‌های انجام شده باعث شده تا نسبت به ایرپاد پرو اولیه، شاهد بیس عمیق‌تر، صدای واضح‌تر و کاهش نویز و تداخلات صوتی در حجم بالا باشیم. در بخش باتری با هر بار شارژ کامل می‌توان تا 6 ساعت به طور مدام موزیک پخش کرد اما اگر صدای فضایی با ردیابی سر روشن باشد این مقدار به 5.5 ساعت کاهش می‌یابد. همچنین با هر بار شارژ می‌توانید تا 4.5 ساعت مکالمه با لغو نویز فعال را انتظار داشته باشید. کیس شارژ این امکان را به شما می‌دهد زمان پخش موزیک را به 30 ساعت و زمان مکالمه را به 24 ساعت افزایش دهید. مهمترین تفاوت بین هدفون بلوتوثی اپل مدل AirPods Pro 2nd Generation Type-C و AirPods Pro نسل دوم با لایتنینگ این است که کیس شارژ جدید به جای پورت لایتنینگ، یک پورت USB-C دارد. تشخیص صحبت کردن و حرکت فک با قابلیت Conversation Awareness و Adaptive Audio برای کم یا زیاد کردن حذف نویز نسبت به صدا محیط از مهمترین قابلیت‌های این هدفون است.
75,75,headphone,هدفون بلوتوثی جی‌بی‌ال مدل Tune 770 NC,jbl,6200000,۶.۲۰۰.۰۰۰,دور گوشی,۱۰ متر,۶ ساعت,۱۰۰ گرم,پشتیبانی از فرمان لمسی پشتیبانی از دستیار صوتی,بی‌سیم,مقاوم در برابر رطوبت ,وقتی موسیقی شما پخش می‌شود، هیچ چیز دیگری مهم نیست. هدفون بی‌سیم JBL Tune 770NC Adaptive Noise Cancelling این وعده را به شما می‌دهد که تمام روز و حتی بیشتر، با کنترل نویزهای اضافی، برای شما موسیقی ارائه دهد. این هدفون دارای باتری با عمر استفاده 70 ساعته می باشد که باعث شده تا شما به‌راحتی بتوانید در طول یک هفته پرمشغله از آن‌ها استفاده کنید و هنوز هم کافیست جهت استفاده در آخر هفته، JBL Pure Bass Sound را داشته باشید. در صورت نیاز به شارژ سریع، 5 دقیقه کافیست تا پلی تایم 3 ساعته را در اختیار داشته باشید. هدفون JBL Tune 770NC سبک است و قابلیت تاشو دارد و با دو دستگاه بلوتوث به‌طور همزمان متصل می شود، بنابراین شما در حین تماشای فیلم روی تبلت، تماس‌های خود را از دست نمی‌دهید. با استفاده از برنامه رایگان JBL Headphones، می‌توانید صدا را به سلیقه‌ی خودتان تنظیم کنید و با پیغام‌های صوتی به زبان شما، قابلیت‌های هدفون را به‌راحتی یاد بگیرید. مدیریت تماس‌ها و دستیار صوتی خود را به‌سادگی از گوشی خود انجام دهید و با استفاده از ویژگی VoiceAware، هنگام صحبت کردن، خودتان را بشنوید.
76,76,headphone,هدست بلوتوثی جی‌بی‌ال مدل Tune 520,jbl,2900000,۲.۹۰۰.۰۰۰,دور گوشی,۱۰ متر,۶ ساعت,۱۰۰ گرم,پشتیبانی از فرمان لمسی پشتیبانی از دستیار صوتی,بی‌سیم,مقاوم در برابر رطوبت ,هدست Tune 520 یکی از جدیدترین محصولات JBL میباشد کخه در سال 2022 وارد بازار شده و نسخه ی آپدیت شده ی سری Tune 510 میباشد و از بلوتوث 5.3 پشتیبانی میکنید که اخرین نسخه ی انتقال صدا برای بلوتوث بوده و بالاترین کیفیت صدا رو بدون نیاز به سیم انتقال میدهد و همچنین با یکبار شارژ ( به مدت 2 ساعت و به ازای هر 5 دقیقه 3 ساعت ) قابلیت پخش موسیقی تا 57 ساعت را به شما میدهد و همچنین از JBL Pure Sound پشتیبانی میکند وبرای شما قابلیت مکالمه بدون نیاز به دست و با استفاده از Voice Aware را فراهم میکند
77,77,headphone,هدست بی سیم جی بی ال مدل AMBIENT 710 SRN SOUND,jbl,4683760,۴.۶۸۳.۷۶۰,دور گوشی,۱۰ متر,۶ ساعت,۱۰۰ گرم,پشتیبانی از فرمان لمسی پشتیبانی از دستیار صوتی,بی‌سیم,مقاوم در برابر رطوبت ,...
78,78,headphone,هدفون مخصوص بازی بی‌سیم ریزر مدل Barracuda x 2022,raz,9399000,۹.۳۹۹.۰۰۰,بی سیم,۱۰ متر,۵۰ ساعت,۲۵۰ گرم,قابلیت اتصال به کامپیوتر موبایل پلی استیشن و نینتندو,بی‌سیم,مقاوم در برابر رطوبت ,هدست بازی بی سیم 4 در 1 Barracuda X 2022 یک هدست بی سیم چند منظوره و سبک وزن است که برای استفاده در رایانه، Playstation، Nintendo، Android طراحی شده است. دانگل USB-C (وصل کن و بازی کن بدون محدودیت) بدون مراحل راه اندازی اضافی، بدون نیاز به دانلود نرم افزار، بدون هیچ مشکلی. به سادگی دانگل USB-C را به پلتفرم مورد نظر خود وصل کنید، هدست Barracuda X بلافاصله برای استفاده با دستگاه شما جفت میشود. یک کابل آنالوگ 3.5 میلیمتری در دسترس است تا در صورت نیاز با سیم از آن استفاده کنید. بسیار نرم و فوم قابل تنفس گوشی هایی با وجود فوم حافظه دار و قابل تنفس راحتی را برای شما تضمین میکند هدبند متغیر که بدون نیاز به تنظیم دستی خودش با اندازه سر شما ست میشود. درایور های Razer Triforce 40mm برای جزئیات بالا تنظیم شده است این طرح ثبت شده به مهندسین ما این امکان را میدهد تا هر درایور صوتی را به صورت سفارشی تنظیم کرده و فرکانس های صوتی بالا، متوسط و پایین را تغییر دهند تا صدایی آکوستیک و واقعی فراهم شود. نه تنهای تربل های غنی تر و باس قدرتمند را ارائه میدهد بلکه صدایی واضح و شفاف را به ارمغان می آورد. وایرلس با قابلیت Razer SmartSwitch Dual جابجایی سریع بین Razer HyperSpeed Wireless و بلوتوث قابلیت وصل شدن همزمان به صورت وایرلس 2.4 گیگاهرتز و بلوتوث به دو دستگاه مختلف، به صورت اتوماتیک تماس ها را از طریق بلوتوث جواب دهید و برای تجربه بهتر بازی کردن از وایرلس 2.4 گیگاهرتزی استفاده کنید. قابلیت Do Not Disturb نیز از طریق نرم افزار ریزر وجود دارد که از تماس ها جلوگیری میکند. طراحی ارگونومیک با وزن 250 گرم چه در خانه در حال بازی کردن باشید و در حال انجام کار های روزانه در بیرون از خانه هدست Razer Barracuda X وقتی حرف از راحتی باشد، چیزی کم نمیگذارد. میکروفون Razer Hyperclear Cardioid قابل جداسازی میکروفون انعطاف پذیر قابل جداسازی مخصوص بازی صدایی شفاف و با وضوحی بالا از شما را همراه با فناوری پیشرفته Noise Cansellation ارائه میدهد.
79,79,headphone,هدفون مخصوص بازی بی سیم ریزر مدل KRAKEN V3 PRO,raz,17990000,۱۷.۹۹۰.۰۰۰,بی سیم,۱۰ متر,۵۰ ساعت,۲۵۰ گرم,قابلیت اتصال به کامپیوتر موبایل پلی استیشن و نینتندو,بی‌سیم,مقاوم در برابر رطوبت ,سبک و راحت فرم ظاهری ارگونومیک و جذاب این هدست (با وزن 325 گرم) از سه عنصر طراحی اصلی بهره می‌برد: پدهای نرمی که روی گوش قرار می‌گیرند از مواد با کیفیتی ساخته ‌شده‌اند که امکان تنفس پوست را فراهم کرده و استفاده‌های طولانی را به تجربه‌ای دل‌پذیر تبدیل می‌کنند. پد نرم هدبند این محصول فشار وارده به سر شما را در استفاده‌های طولانی کاهش می‌دهد. طراحی ساختار این هدست نیز به گونه‌ای است که فشار یکسان و متعادلی به تمام نقاط سر وارد می‌کند تا با وجود راحتی، هدست به خوبی روی سر محکم شود. فرم پوشیدن هدست kraken V3 به صورت قرارگیری روی گوش است. درایورهای TriForce ریزر صدای این هدست با کیفیت و وضوح بالای خود دنیای بازی‌های شما را با غنای صوتی و جذابیت بیشتری همراه می‌کند. در کنار بیس قدرتمند، صداهای با فرکانس پایین، متوسط و بالا توسط درایور 50 میلی‌متری 3 قسمتی و اختصاصی ریزر به صورت جداگانه پردازش می‌شوند. از دیگر مشخصات صوتی این هدست باید به دامنه فرکانس پاسخگویی 20 هرتز تا 20 هزار هرتز، حساسیت 103 دسی‌بل و امپدانس برابر با 32 اهم اشاره کرد. صدای فراگیر 7.1 به مدد صدای فراگیر هدست گیمینگ ریزر Kraken V3 می‌توانید در محیط بازی‌های خود جزئی‌ترین صداها را نیز تشخیص داده و مبدأ آن را با دقت بالا شناسایی کنید تا هرگز توسط رقبا غافلگیر نشوید. البته این ویژگی فقط هنگام استفاده از ویندوز 10 نسخه 64 بیت در دسترس خواهد بود. میکروفون HyperClear Cardioid ریزر ین میکروفون انعطاف پذیر و جدا شونده با حساسیت 3 دسی‌بل و فرکانس پاسخگویی 100 هرتز تا 10 کیلوهرتز به قابلیت مقابله با نویز نیز مجهز شده است تا صدای شما را با وضوح و شفافیتی فوق‌العاده به دیگران انتقال دهد. برای اطمینان از ضبط صدا با بالاترین کیفیت، حتماً دیافراگم میکروفون را به سمت دهان خود بگیرید (خروجی هوا نیز در جهت مقابل باشد). یک علامت کوچک به شکل میکروفون روی دیافراگم هک شده تا به سادگی بتوانید جهت قرارگیری آن را تشخیص دهید. نورپردازی Chroma RGB ریزر با تنوع رنگی 16.8 میلیونی، هزاران الگوی مختلف و افکت‌های نورپردازی داینامیک مخصوص بازی‌ها، نورپردازی RGB هدست گیمینگ ریزر Kraken V3 X جلوه‌ای متمایز به سیستم گیمینگ شما می‌بخشد و بین شما و دنیای بازی‌ها پیوندی ویژه ایجاد می‌کند.
80,80,headphone,هدفون مخصوص بازی بی سیم ریزر مدل Kaira for PS5,raz,8995000,۸.۹۹۵.۰۰۰,بی سیم,۱۰ متر,۵۰ ساعت,۲۵۰ گرم,قابلیت اتصال به کامپیوتر موبایل پلی استیشن و نینتندو,بی‌سیم,مقاوم در برابر رطوبت ,...